id,user_id,username,name,tweet,replies_count,retweets_count,likes_count,hashtags
1.51541E+18,37591976,laoficinageek,La Oficina Geek,"Un hombre del estado de Florida, vio #SpiderManNoWayHome 292 veces, el récord mundial Guinness de la mayoría de las producciones cinematográficas a las que asistió la misma película. 🤯  ( Via @GWR )  https://t.co/R55C90GY1c",0,0,1,['spidermannowayhome']
1.51541E+18,887800632,julieng93530064,Petite Sweets,#SpiderManNoWayHome #SpiderMan #YouTube,0,0,0,"['spidermannowayhome', 'spiderman', 'youtube']"
1.51541E+18,145204934,sebasboers,Sebastiaan,Spider-Man No Way Home gekeken. Een mooie superheldenfilm. #SpiderManNoWayHome  https://t.co/JDA3Iac5Fx,0,0,0,['spidermannowayhome']
1.51541E+18,14228245,insidethemagic,Inside the Magic,"‘Spider-Man’ Andrew Garfield, Tobey Maguire Spotted Together After Spider-Verse Rumors --  https://t.co/mg9NVY18Si  #AndrewGarfield #SpiderManNoWayHome #TobeyMaguire #MakeTASM3  https://t.co/KVcOPF5bt6",0,0,3,"['andrewgarfield', 'spidermannowayhome', 'tobeymaguire', 'maketasm3']"
1.51541E+18,1.38748E+18,mcu_direct_ar,MCU - IN Direct AR ✪,"لا حظ بعض المعجبين انه فى فيلم #SpiderManNoWayHome و بالتحديد فى لقطة النشرة قبل ظهور #Daredivel مباشرة ، تم التلميح بشريط العرض للنشرة انة يوجد ""صراع سياسى يحدث فى مدينة New Asgard""🧐🧐😳😳  https://t.co/x7npWnscmX",3,3,33,"['spidermannowayhome', 'daredivel']"
1.51541E+18,1605214213,ftonerdtalk,FTO: Nerd Talk,@blackgirlmarvel @TheBatmanStan1 @SpiderMan @SpiderManMovie @MarvelCGeeks @YoANerd @bgaycomicgeek He'd take down the NYC one by one. Just like he did with the gcpd and nyc doesn't have an Arkham. Those criminals would be going to Rikers or The Vault. Batm,0,0,0,[]
1.51541E+18,1.07144E+18,kacikpopkultury,Kącik Popkultury,"292 seanse - tyle razy fan marvela widział film #SpiderManNoWayHome na sali kinowej, bijąc tym samym rekord Guinnessa 🤯. Ramiro Alanis, bo o nim mowa, to obywatel Florydy.  https://t.co/kRN6HIFwpR",0,0,6,['spidermannowayhome']
1.51541E+18,1.11722E+18,sinemori,Sinemori,"Florida'da yaşayan bir Marvel hayranı, #SpiderManNoWayHome'u sinemada 292 kez izleyerek Guinness rekoru kırdı.  Filme ayırdığı toplam süre 720 saate, yani 30 güne tekabül ediyor.  https://t.co/DRhfsxqlJW",3,2,28,['spidermannowayhome']
1.51541E+18,1.30415E+18,mrwoku,Woku #SpiderManNoWayHome #MultiverseOfMadness,En #SpiderManNoWayHome nos han confirmado un conflicto en New Asgard!!  #ThorLoveAndThunder ⚡❤️ #MarvelStudios|#Marvel|#SpiderMan 🕷️🕷️🕷️❤️  https://t.co/45T88gWng2,0,0,0,"['spidermannowayhome', 'thorloveandthunder', 'marvelstudios', 'marvel', 'spiderman']"
1.51541E+18,8.59443E+17,asadurrehman074,Asad-ur-Rehman,"Ramiro Alanis, a man from Florida, watched ‘SPIDER-MAN: NO WAY HOME’ 292 times, the Guinness World Record for “most cinema productions attended of the same film.”   @GabyMeza8  #SpiderMan #SpiderManNoWayHome @MarvelStudios  #marvel @GWR  #TigreVengador @Zendaya  #MCU #GWR #movies  https://t.co/P0oBw5WUnn",0,1,1,"['spiderman', 'spidermannowayhome', 'marvel', 'tigrevengador', 'mcu', 'gwr', 'movies']"
1.51541E+18,39821852,jerryhelmers,Leukste Boomer van NL - met afstand,#SpiderManNoWayHome   Ik begrijp niets van deze film.   Van begin tot het eind: het is me één groot raadsel wat er precies gebeurt. En: wat niet.  #bioscoop 🤷🏻‍♂️🤷🏻‍♂️🤷🏻‍♂️🤷🏻‍♂️🍿🍿🍿  Zonde van m’n geld.,0,0,0,"['spidermannowayhome', 'bioscoop']"
1.51541E+18,1370663082,somischief,jamie cumbee,@TomHolland1996 @MarvelStudios @SpiderManMovie @JamesGunn what in the holly hell is going on in Charleston sc?  https://t.co/Clsronn7Ey,0,0,0,[]
1.51541E+18,1.40847E+18,bingewatchthis_,Binge Watch This,"A #SpiderManNoWayHome fan in Florida has set the Guinness World Record for most times watching the movie, as he's now seen it 292 times, which totals 720 hours! (Via: @GWR)  https://t.co/HgcAr29chG",5,12,104,['spidermannowayhome']
1.51541E+18,2162380118,mad_books,Histolicious,Nein ... was.... nein  Ich ... neeeeein .#SpiderManNoWayHome  https://t.co/nRat6G0VH8,1,0,4,['spidermannowayhome']
1.51541E+18,1.46213E+18,geekflixoficial,GEEK FLIX | MOON KNIGHT JÁ ESTREOU!,"MINHA NOSSA 😲  Um homem da Flórida viu #SpiderManNoWayHome 292 vezes e entrou no Guiness Book como ""maior número de produções cinematográficas assistidas do mesmo filme"".   https://t.co/nrxbD8eCQf  https://t.co/huqeOB0mOy",1,0,7,['spidermannowayhome']
1.51541E+18,265156087,ohlaboday,Henry ✭,A leading Florida man for once. Wondering how much those movie visits are in total lol #SpiderManNoWayHome,0,0,0,['spidermannowayhome']
1.51541E+18,175494135,lone111wanderer,Faith,@JPSWITCHMANIA @sammy_sock @SpiderManMovie Hi!,0,0,1,[]
1.51541E+18,1.49771E+18,bizzarearachnid,TheBizzareArachnid,I'm surprised we didn't get a new SpiderMan VR game to tie into #SpiderManNoWayHome  I guess they didn't wanna spoil too much,0,0,0,['spidermannowayhome']
1.51541E+18,1.49774E+18,moisesrios333,MoisesRios333,El hombre araña no mata 🕷 #SpiderMan #SpiderManNoWayHome #Spiderverse #TikTok  https://t.co/GeXIIo8dWf,0,0,1,"['spiderman', 'spidermannowayhome', 'spiderverse', 'tiktok']"
1.51541E+18,1.30887E+18,weeklycut,The Weekly Cut,"A man from Florida has watched #SpiderManNoWayHome 292 times, setting a new Guinness World Record…   That’s a total runtime of 720 hours 🤯  Source: @GWR    https://t.co/NwAhxUcSof",3,3,10,['spidermannowayhome']
1.51541E+18,42414400,blackgirlmarvel,La Harrison,@ftonerdtalk @TheBatmanStan1 @SpiderMan @SpiderManMovie @MarvelCGeeks @YoANerd @bgaycomicgeek Batman clean up NYC? He aint clean up Gotham 😂 I think Spidey would go dark &amp; become everyone's worst nightmare. Batman would be hunted by the NYPD for br,1,0,1,[]
1.51541E+18,9.42636E+17,objective_geek,Chris AKA The Objective Geek,"Watching #SpiderManNoWayHome and the scene of Peter interrupting Dr. Strange while he's spellcasting bothers me more and more, like can he stop being so whiney.  https://t.co/K2UuiHhCXv",0,0,1,['spidermannowayhome']
1.51541E+18,387976956,jameschapple,James Chapple,"No Way Home was incredible, and easily one of my all time favorite Spidey films. So much to love in it, but the composer nerd in me FREAKED OUT hearing Elfman’s theme under some of Tobey’s scenes. My goosebumps had goosebumps!! #SpidermanNoWayHome #SpiderMan",0,0,2,"['spidermannowayhome', 'spiderman']"
1.51541E+18,1.13347E+18,keanandowling,KEANAN THOMAS,Spider-Man PS5 🕷 #spiderman #spidermanps4 #ps5 #peterparker #ingamephotography #gamephotography #photo #art #poster #spidey #marvel #spidermannowayhome  https://t.co/Rh2dmU6lyA,0,0,0,"['spiderman', 'spidermanps4', 'ps5', 'peterparker', 'ingamephotography', 'gamephotography', 'photo', 'art', 'poster', 'spidey', 'marvel', 'spidermannowayhome']"
1.51541E+18,1.44313E+18,densitydk,DK_Density,@agalanis17 @Hueberellie @TheRealTCU @SpiderManMovie @MarvelStudios @DrStrange @Kevfeige @Russo_Brothers @asadayaz @MarvelLATAM @RobertIger You should be invited to a premiere for wasting a massive amount of time?,0,0,1,[]
1.51541E+18,7.75737E+17,burastar23,BuraStar,- سجل رجل من فلوريدا رقمًا قياسيًا في موسوعة غينيس للأرقام القياسية لمشاهدته فيلم [ #SpiderManNoWayHome ] 292 مرة   هذا هو إجمالي 720 ساعة مشاهدة ، أو 30 يوم�,9,2,13,['spidermannowayhome']
1.5154E+18,1.34973E+18,muitiversogeek,MuItiverso Geek,"GENTE? Ramiro Alanis, um fã da Marvel, assistiu #SpiderManNoWayHome 292 VEZES!  O homem bateu o recorde mundial de ""maior número de visualizações de um filme no cinema""!   Via: @MCU_Direct  https://t.co/k4DlAK5oOm",5,1,85,['spidermannowayhome']
1.5154E+18,9.61412E+17,lucarblfan2010,EisteeLuca,Für mich ist #SpiderManNoWayHome  Immer Noch der Beste #Marvel Film Ever,0,0,0,"['spidermannowayhome', 'marvel']"
1.5154E+18,1.51138E+18,theshinbatman39,AW,Finally #SpiderManNoWayHome blu-ray/4K edition has arrived into my mailbox.  https://t.co/bz2mMUvoFG,0,0,0,['spidermannowayhome']
1.5154E+18,7960292,kadosho,kadosho,@CorridorDigital #VFXArtistsReact #SpidermanNoWayHome    https://t.co/oY3kjaCSSX,0,0,0,"['vfxartistsreact', 'spidermannowayhome']"
1.5154E+18,8.82626E+17,detorama,DETO / OPEN COMMISSION'S (3/4),GIVE ME RENT  #SpiderMan #Marvel #SpiderManNoWayHome #fanart  https://t.co/WqZvjIiZxX,0,0,1,"['spiderman', 'marvel', 'spidermannowayhome', 'fanart']"
1.5154E+18,9.47156E+17,shayewyllie,Shaye is Khonshu’s newest Avatar,Aight I’m bout to watch the first #DoctorStrange movie (yes for the first time lol) and then I’ll see if I have time for #SpiderManNoWayHome before I rewatch #MoonKnight later.,0,0,2,"['doctorstrange', 'spidermannowayhome', 'moonknight']"
1.5154E+18,2173393485,leo181711,Lou Blakeway 🏃‍♀️⚓📚🏳️‍🌈,Mr B has gone to the Rugby so I am chilling out with the 2 eldest and have invited Peter and MJ round for a few hours  😊😊😊 (I've waited so long to watch this film without coming across spoilers!!!!!) #SpiderManNoWayHome,0,0,1,['spidermannowayhome']
1.5154E+18,1.11234E+18,sepehr_skyler,𝐁𝐮𝐥𝐥𝐲 𝐌𝐚𝐠𝐮𝐢𝐫𝐞,"Seriously though, @SonyPictures must make Spider-Man movies with @MarvelStudios help so they can be successful, #SpiderManNoWayHome is a good example, otherwise there will be more failures like @MorbiusMovie #MoonKnight #MrKnight  https://t.co/dDhouFadow",0,0,3,"['spidermannowayhome', 'moonknight', 'mrknight']"
1.5154E+18,1.42964E+18,peteparker1962,NYCWallCrawler,"""What the f--!""- Spider-Man  I think they shouldn't have edited the same scene in No Way Home. It wouldn't have felt like a continuity.  #SpiderManNoWayHome #SpiderManFarFromHome  https://t.co/bZ2EYcCHh5",0,0,0,"['spidermannowayhome', 'spidermanfarfromhome']"
1.5154E+18,1.49146E+18,multiverse_kndm,Multiverse_Kingdom,What you guys think? 🤔   #MoonKnight #SpiderManNoWayHome  https://t.co/SqtKKThjhn,0,0,1,"['moonknight', 'spidermannowayhome']"
1.5154E+18,1.47322E+18,comicodigy,Comicodigy,"A Florida man has watched #SpiderManNoWayHome 292 times in theatres, breaking a world record  https://t.co/tGaVjtMano",0,0,0,['spidermannowayhome']
1.5154E+18,3439087833,nessio23,Nessi!!!,"Decepción con #SpiderManNoWayHome   No waaay at all, chavales!  @jorge_ori97",0,0,1,['spidermannowayhome']
1.5154E+18,14722211,therealspesch,Patrick Calprainn カルプレインさん,"Wenn ich die Wahl zwischen dörflichem Osterfeuer und die freundliche Spinne aus der Nachbarschaft habe… naja, easy choice! 🕷  #NowWatching #SpiderManNoWayHome  https://t.co/EJEKBX3fPz",0,0,6,"['nowwatching', 'spidermannowayhome']"
1.5154E+18,108640075,nuiyi,Nuiyi,"🔴SPIDER FAN! Un hombre en Florida vio #SpiderManNoWayHome un total de 292 veces, rompiendo el récord mundial Guinness por asistir el mayor numero de veces a ver la misma película. Su nombre Ramiro Alanis y no es la 1ra vez que rompe records de este tipo.  https://t.co/X4z38EZkWc",0,0,0,['spidermannowayhome']
1.5154E+18,899032296,agalanis17,El Tigre Vengador,@DeltaHeliolisk @DiscussingFilm @SpiderManMovie,0,0,0,[]
1.5154E+18,1.30415E+18,mrwoku,Woku #SpiderManNoWayHome #MultiverseOfMadness,Ramiro Alanis (@agalanis17) vuelve a Romper otro Récord Guiness con más de 290 visitas al cine para ver #SpiderManNoWayHome!!  #SpiderMan 🕷️🕷️🕷️❤️  https://t.co/gGqKGbFPwE,0,2,3,"['spidermannowayhome', 'spiderman']"
1.5154E+18,1.31744E+18,saphiraprince,Saphira de Themyscira #WonderWoman,"DEBATAZO ARÁCNIDO   Desde el martes anunciamos que mañana Domingo, las @JusticeGirls42 nos reunimos de nuevo para hablar de #SpiderManNoWayHome   Si quieres verme en modo ""hater"", suscribete, dale a la campanita y no te lo pierdas 😂   https://t.co/9s3y66FeOm",6,4,9,['spidermannowayhome']
1.5154E+18,1.3343E+18,janelle90390576,Janelle 🏳️‍🌈,@MCU_Direct Definitely worth watching that many times I love #SpiderManNoWayHome its currently in my top 5 favorite #MCU #MarvelStudios movies!,0,0,0,"['spidermannowayhome', 'mcu', 'marvelstudios']"
